x1,x2,x3,x1x2,x2x3,x1x3,x1x2x3,y1,y2,y3,y
-1,-1,-1,1,1,1,-1,45,67,78,63
-1,-1,1,1,-1,-1,1,60,75,85,73
-1,1,-1,-1,-1,1,1,180,230,270,226
-1,1,1,-1,1,-1,-1,205,255,275,245
1,-1,-1,-1,1,-1,1,150,160,170,160
1,-1,1,-1,-1,1,-1,135,140,145,140
1,1,-1,1,-1,-1,-1,505,540,565,536
1,1,1,1,1,1,1,460,470,480,470
