Месяц,x1,x2,x2_origin,x3,dx1,dx2,dx3,y
Сент,5.35,1.87,0.2,44.98,155.33,843.75,-0.1,1520.92
Сент,5.5,2.72,0.2,44.98,234.47,858.32,-0.15,2269.25
Сент,5.74,3.58,0.2,44.98,314.97,880.31,-0.22,3079.81
Сент,6.05,4.46,0.2,44.98,397.54,909.85,-0.32,3979.97
Сент,6.45,5.37,0.2,44.98,482.88,947.14,-0.44,4999.76
Сент,6.93,6.31,0.2,44.98,571.71,992.43,-0.59,6172.9
Сент,7.5,7.31,0.2,44.98,664.8,1046.05,-0.77,7537.88
Сент,5.27,0.36,0.36,44.98,13.4,836.69,-0.08,243.12
Сент,5.28,1.2,0.36,44.98,91.88,837.95,-0.08,944.4
Сент,5.38,2.03,0.36,44.98,170.47,846.56,-0.11,1662.22
Сент,5.55,2.88,0.36,44.98,249.87,862.55,-0.16,2421.49
Сент,5.8,3.74,0.36,44.98,330.77,885.99,-0.24,3248.14
Сент,6.13,4.63,0.36,44.98,413.87,917.01,-0.34,4170.01
Сент,6.54,5.55,0.36,44.98,499.88,955.83,-0.47,5217.81
Сент,7.04,6.5,0.36,44.98,589.53,1002.72,-0.63,6426.13
Сент,7.63,7.51,0.36,44.98,683.58,1058.01,-0.81,7834.56
Сент,5.27,0.52,0.52,44.98,28.41,836.69,-0.08,377.0
Сент,5.3,1.36,0.52,44.98,106.89,839.35,-0.09,1080.08
Сент,5.41,2.2,0.52,44.98,185.61,849.38,-0.12,1804.43
Сент,5.59,3.05,0.52,44.98,265.28,866.79,-0.18,2575.12
Сент,5.86,3.91,0.52,44.98,346.58,891.67,-0.26,3418.38
Сент,6.2,4.8,0.52,44.98,430.21,924.18,-0.37,4362.55
Сент,6.63,5.73,0.52,44.97,516.89,964.53,-0.5,5439.02
Сент,7.15,6.69,0.52,44.97,607.36,1013.01,-0.66,6683.27
Окт,3.61,0.2,0.2,44.97,-1.6,680.99,0.44,111.92
Окт,3.61,0.88,0.2,44.97,62.27,680.84,0.44,575.57
Окт,3.67,1.56,0.2,44.97,126.13,686.68,0.42,1046.97
Окт,3.8,2.25,0.2,44.97,190.53,698.51,0.38,1542.53
Окт,3.99,2.95,0.2,44.98,256.05,716.38,0.32,2079.24
Окт,4.24,3.66,0.2,44.98,323.24,740.4,0.24,2675.21
Окт,4.57,4.4,0.2,44.98,392.68,770.72,0.14,3350.33
Окт,4.96,5.17,0.2,44.98,464.97,807.55,0.02,4126.92
Окт,5.42,5.98,0.2,44.98,540.71,851.16,-0.12,5030.47
Окт,5.96,6.83,0.2,44.98,620.55,901.87,-0.29,6090.48
Окт,6.59,7.74,0.2,44.98,705.14,960.08,-0.48,7341.43
Окт,7.29,8.7,0.2,44.98,795.19,1026.21,-0.7,8823.89
Окт,3.61,0.36,0.36,44.97,13.4,680.99,0.44,220.88
Окт,3.62,1.04,0.36,44.97,77.28,682.25,0.43,685.66
Окт,3.7,1.72,0.36,44.98,141.27,689.5,0.41,1162.04
Окт,3.84,2.41,0.36,44.98,205.94,702.75,0.37,1666.54
Окт,4.05,3.12,0.36,44.98,271.85,722.06,0.3,2216.38
Окт,4.32,3.84,0.36,44.98,339.57,747.56,0.22,2830.07
Окт,4.66,4.59,0.36,44.98,409.69,779.41,0.11,3528.03
Окт,5.07,5.36,0.36,44.98,482.79,817.84,-0.01,4333.31
Окт,5.55,6.18,0.36,44.98,559.5,863.12,-0.16,5272.28
Окт,6.11,7.05,0.36,44.98,640.45,915.6,-0.34,6375.59
Окт,6.75,7.96,0.36,44.98,726.33,975.67,-0.54,7679.09
Окт,7.48,8.94,0.36,44.98,817.84,1043.79,-0.76,9225.03
Окт,3.61,0.52,0.52,44.97,28.41,680.99,0.44,329.83
Окт,3.64,1.2,0.52,44.98,92.28,683.66,0.43,796.21
Окт,3.73,1.88,0.52,44.98,156.4,692.31,0.4,1278.03
Окт,3.89,2.58,0.52,44.98,221.34,706.98,0.35,1791.94
Окт,4.11,3.28,0.52,44.98,287.65,727.74,0.28,2355.44
Окт,4.4,4.01,0.52,44.98,355.91,754.72,0.19,2987.42
Окт,4.75,4.77,0.52,44.98,426.69,788.1,0.08,3708.89
Окт,5.18,5.55,0.52,44.98,500.61,828.12,-0.05,4543.6
Окт,5.68,6.38,0.52,44.98,578.28,875.08,-0.2,5518.89
Окт,6.26,7.26,0.52,44.98,660.36,929.32,-0.38,6666.53
Окт,6.92,8.19,0.52,44.98,747.52,991.25,-0.59,8023.79
Нояб,2.37,0.2,0.2,44.98,-1.6,564.69,0.82,113.91
Нояб,2.37,0.76,0.2,44.98,51.36,564.54,0.82,432.7
Нояб,2.42,1.33,0.2,44.98,104.31,569.36,0.81,756.76
Нояб,2.52,1.9,0.2,44.98,157.71,579.14,0.77,1097.38
Нояб,2.68,2.48,0.2,44.98,212.03,593.93,0.73,1466.22
Нояб,2.89,3.07,0.2,44.98,267.74,613.82,0.66,1875.74
Нояб,3.16,3.69,0.2,44.98,325.31,638.93,0.58,2339.62
Нояб,3.49,4.32,0.2,44.98,385.23,669.44,0.48,2873.17
Нояб,3.87,4.99,0.2,44.98,448.02,705.57,0.36,3493.91
Нояб,4.32,5.7,0.2,44.98,514.2,747.6,0.22,4222.12
Нояб,4.83,6.45,0.2,44.98,584.32,795.82,0.06,5081.48
Нояб,5.42,7.24,0.2,44.98,658.96,850.63,-0.12,6099.87
Нояб,6.08,8.09,0.2,44.98,738.75,912.44,-0.33,7310.24
Нояб,6.82,9.01,0.2,44.98,824.33,981.72,-0.56,8751.75
Нояб,7.64,9.99,0.2,44.98,916.41,1059.04,-0.81,10470.95
Нояб,2.37,0.36,0.36,44.98,13.4,564.69,0.82,204.26
Нояб,2.38,0.92,0.36,44.98,66.37,565.95,0.82,524.02
Нояб,2.45,1.49,0.36,44.98,119.45,572.17,0.8,852.25
Нояб,2.57,2.06,0.36,44.98,173.11,583.37,0.76,1200.31
Нояб,2.74,2.65,0.36,44.98,227.83,599.61,0.71,1580.07
Нояб,2.97,3.25,0.36,44.98,284.07,620.98,0.64,2004.32
Нояб,3.25,3.87,0.36,44.98,342.31,647.62,0.55,2487.18
Нояб,3.6,4.51,0.36,44.99,403.05,679.73,0.44,3044.56
Нояб,4.0,5.19,0.36,44.99,466.81,717.53,0.32,3694.75
Нояб,4.47,5.91,0.36,44.99,534.11,761.32,0.17,4458.92
Нояб,5.0,6.67,0.36,44.99,605.51,811.41,0.01,5361.93
